"table_name","table_schema","column_name","data_type"
retail_country_codes,soda_demo_data_testing,id,integer
retail_country_codes,soda_demo_data_testing,iso,character
retail_country_codes,soda_demo_data_testing,name,character varying
retail_country_codes,soda_demo_data_testing,nicename,character varying
retail_country_codes,soda_demo_data_testing,iso3,character
retail_country_codes,soda_demo_data_testing,numcode,smallint
retail_country_codes,soda_demo_data_testing,phonecode,integer
retail_orders,soda_demo_data_testing,order_id,character varying
retail_orders,soda_demo_data_testing,product_id,character varying
retail_orders,soda_demo_data_testing,customer_id,character varying
retail_orders,soda_demo_data_testing,order_quantity,integer
retail_orders,soda_demo_data_testing,discount,double precision
retail_orders,soda_demo_data_testing,discount_currency,character varying
retail_orders,soda_demo_data_testing,billing_address,character varying
retail_orders,soda_demo_data_testing,shipping_address,character varying
retail_orders,soda_demo_data_testing,payment_method,character varying
retail_orders,soda_demo_data_testing,order_date,timestamp without time zone
retail_orders,soda_demo_data_testing,ship_date,timestamp without time zone
retail_orders,soda_demo_data_testing,country_code,character varying
retail_orders,soda_demo_data_testing,total_order_value,double precision
retail_orders,soda_demo_data_testing,created_at,timestamp without time zone
retail_customers,soda_demo_data_testing,city,character varying
retail_customers,soda_demo_data_testing,company,character varying
retail_customers,soda_demo_data_testing,country,character varying
retail_customers,soda_demo_data_testing,country_code,character varying
retail_customers,soda_demo_data_testing,credit_card_expiration_date,character varying
retail_customers,soda_demo_data_testing,credit_card_number,character varying
retail_customers,soda_demo_data_testing,credit_card_security_code,character varying
retail_customers,soda_demo_data_testing,customer_id,character varying
retail_customers,soda_demo_data_testing,department,character varying
retail_customers,soda_demo_data_testing,email,character varying
retail_customers,soda_demo_data_testing,first_name,character varying
retail_customers,soda_demo_data_testing,gender,character varying
retail_customers,soda_demo_data_testing,ip_address,character varying
retail_customers,soda_demo_data_testing,job_title,character varying
retail_customers,soda_demo_data_testing,language,character varying
retail_customers,soda_demo_data_testing,last_name,character varying
retail_customers,soda_demo_data_testing,phone,character varying
retail_customers,soda_demo_data_testing,prefix,character varying
retail_customers,soda_demo_data_testing,profile_picture,character varying
retail_customers,soda_demo_data_testing,signed_up_for_newsletter,boolean
retail_customers,soda_demo_data_testing,street_address,character varying
retail_customers,soda_demo_data_testing,signing_date,timestamp without time zone
retail_sfdc_customers,soda_demo_data_testing,city,character varying
retail_sfdc_customers,soda_demo_data_testing,company,character varying
retail_sfdc_customers,soda_demo_data_testing,country,character varying
retail_sfdc_customers,soda_demo_data_testing,country_code,character varying
retail_sfdc_customers,soda_demo_data_testing,credit_card_expiration_date,character varying
retail_sfdc_customers,soda_demo_data_testing,credit_card_number,character varying
retail_sfdc_customers,soda_demo_data_testing,credit_card_security_code,character varying
retail_sfdc_customers,soda_demo_data_testing,customer_id,character varying
retail_sfdc_customers,soda_demo_data_testing,department,character varying
retail_sfdc_customers,soda_demo_data_testing,email,character varying
retail_sfdc_customers,soda_demo_data_testing,first_name,character varying
retail_sfdc_customers,soda_demo_data_testing,gender,character varying
retail_sfdc_customers,soda_demo_data_testing,ip_address,character varying
retail_sfdc_customers,soda_demo_data_testing,job_title,character varying
retail_sfdc_customers,soda_demo_data_testing,language,character varying
retail_sfdc_customers,soda_demo_data_testing,last_name,character varying
retail_sfdc_customers,soda_demo_data_testing,phone,character varying
retail_sfdc_customers,soda_demo_data_testing,prefix,character varying
retail_sfdc_customers,soda_demo_data_testing,profile_picture,character varying
retail_sfdc_customers,soda_demo_data_testing,signed_up_for_newsletter,boolean
retail_sfdc_customers,soda_demo_data_testing,street_address,character varying
retail_sfdc_customers,soda_demo_data_testing,signing_date,timestamp without time zone
retail_products,soda_demo_data_testing,amount_in_stock,integer
retail_products,soda_demo_data_testing,manufacturer,character varying
retail_products,soda_demo_data_testing,product_category,character varying
retail_products,soda_demo_data_testing,product_id,character varying
retail_products,soda_demo_data_testing,product_name,character varying
retail_products,soda_demo_data_testing,purchase_price,double precision
retail_products,soda_demo_data_testing,selling_price,double precision
retail_products,soda_demo_data_testing,size,double precision
retail_products,soda_demo_data_testing,weight,double precision
retail_products,soda_demo_data_testing,procurement_date,timestamp without time zone
